cn101_cn107_6046 1	3021.651990	6.750000	0.088000	0.000000	3028.489990	8464	0
cn101_cn107_6047 1	3022.105148	6.492000	0.105000	0.000000	3028.702148	8465	0
cn101_cn107_6048 1	3021.198895	6.747000	0.121000	0.000000	3028.066895	8478	0
cn101_cn107_6049 1	3021.534953	6.626000	0.091000	0.000000	3028.251953	8480	0
cn101_cn107_6050 1	3022.258975	6.615000	0.075000	0.000000	3028.948975	8474	0
cn101_cn107_6051 1	3022.327963	6.719000	0.090000	0.000000	3029.136963	8476	0
cn101_cn107_6053 1	3022.185107	6.934000	0.116000	0.000000	3029.235107	8479	0
cn101_cn107_6058 1	3024.578076	5.595000	0.105000	0.000000	3030.278076	8469	0
cn101_cn107_6059 1	3023.318014	5.932000	0.114000	0.000000	3029.364014	8486	0
cn101_cn107_6060 1	3023.294922	5.917000	0.083000	0.000000	3029.294922	8491	0
cn101_cn107_6069 1	3023.540990	6.481000	0.093000	0.000000	3030.114990	8483	0
cn101_cn107_6068 1	3023.122955	6.332000	0.099000	0.000000	3029.553955	8494	0
cn101_cn107_6067 1	3024.321971	5.808000	0.090000	0.000000	3030.219971	8488	0
cn101_cn107_6070 1	3023.606805	6.479000	0.089000	0.000000	3030.174805	8492	0
cn101_cn107_6082 1	3022.176820	7.705000	0.084000	0.000000	3029.965820	8498	0
cn101_cn107_6092 1	3023.403811	6.969000	0.083000	0.000000	3030.455811	8495	0
cn101_cn107_6093 1	3022.298059	7.805000	0.082000	0.000000	3030.185059	8502	0
cn101_cn107_6094 1	3022.378959	7.793000	0.111000	0.000000	3030.282959	8503	0
cn101_cn107_6095 1	3022.372008	7.971000	0.115000	0.000000	3030.458008	8504	0
cn101_cn107_6097 1	3022.451002	8.025000	0.076000	0.000000	3030.552002	8506	0
cn101_cn107_6098 1	3022.652043	7.913000	0.079000	0.000000	3030.644043	8508	0
cn101_cn107_6099 1	3022.782051	7.870000	0.075000	0.000000	3030.727051	8509	0
cn101_cn107_6100 1	3022.995965	7.740000	0.078000	0.000000	3030.813965	8510	0
cn101_cn107_6102 1	3023.560031	7.257000	0.140000	0.000000	3030.957031	8511	0
cn101_cn107_6104 1	3023.476975	7.515000	0.082000	0.000000	3031.073975	8513	0
cn101_cn107_6105 1	3023.684945	7.611000	0.123000	0.000000	3031.418945	8512	0
cn101_cn107_6096 1	3024.087867	7.994000	0.132000	0.000000	3032.213867	8505	0
cn101_cn107_6106 1	3023.824080	7.968000	0.090000	0.000000	3031.882080	8514	0
cn101_cn107_6107 1	3024.839037	8.315000	0.084000	0.000000	3033.238037	8499	0
cn101_cn107_6108 1	3024.412049	8.398000	0.115000	0.000000	3032.925049	8507	0
cn101_cn107_6109 1	3023.903018	8.481000	0.084000	0.000000	3032.468018	8516	0
cn101_cn107_6112 1	3023.974916	8.511000	0.278000	0.000000	3032.763916	8515	0
cn101_cn107_6113 1	3023.404986	9.010000	0.096000	0.000000	3032.510986	8521	0
cn101_cn107_6115 1	3024.952098	7.564000	0.084000	0.000000	3032.600098	8522	0
cn101_cn107_6114 1	3027.315102	7.512000	0.127000	0.000000	3034.954102	8490	0
cn101_cn107_6116 1	3026.592008	6.526000	0.090000	0.000000	3033.208008	8519	0
cn101_cn107_6119 1	3026.629932	6.283000	0.267000	0.000000	3033.179932	8523	0
cn101_cn107_6122 1	3027.176080	5.820000	0.136000	0.000000	3033.132080	8526	0
cn101_cn107_6124 1	3027.276023	5.881000	0.092000	0.000000	3033.249023	8527	0
cn101_cn107_6125 1	3027.180133	6.144000	0.087000	0.000000	3033.411133	8528	0
cn101_cn107_6126 1	3027.346953	6.017000	0.138000	0.000000	3033.501953	8530	0
cn101_cn107_6128 1	3028.133029	5.590000	0.682000	0.000000	3034.405029	8520	0
